Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI,,
unit) 27(3631),,,,,,,,,,,,,,,,,
San Jacinto,Operating,San,Natural,,,,,,,,,,23%,53%,,,
,,,,170,11,11.90%,10.9,12.5,0.7,0.4,5.90%,706,,,168,,
Peaking Power,,Jacinto,gas,,,,,,,,,,-16,-73,,,
-56603,,,,,,,,,,,,,,,,,
Sand Hill (gas,Operating,Travis,Natural,308.4,19,12.00%,7.1,9.5,0.6,0.2,2.20%,"16,975",81%,48%,180,,
turbine unit) 28,,,gas,,,,,,,,,,-71,-67,,,
-7900,,,,,,,,,,,,,,,,,
Silas Ray (gas,Operating,Cameron,Natural,61,16,5.00%,7.8,10.6,0.6,0.1,0.00%,"59,381",96%,67%,192,,
turbine unit) 29,,,gas,,,,,,,,,,-89,-86,,,
-3559,,,,,,,,,,,,,,,,,
Silas Ray,Operating,Cameron,Oil,,,,,,,,,,96%,67%,,,
,,,,10.4,19,0.00%,NA,27.5,2.2,3.4,NA,"59,381",,,192,,
(internal,,,,,,,,,,,,,-89,-86,,,
combustion,,,,,,,,,,,,,,,,,
unit) 30(3559),,,,,,,,,,,,,,,,,
Sim Gideon,Operating,Bastrop,Natural,623,55,8.10%,14.9,10.4,0.6,1.7,2.90%,"4,476",38%,39%,72,,
-3601,,,gas,,,,,,,,,,-32,-55,,,
Sky Global,Operating,Colorado,Natural,51,4,9.90%,NA,9.5,0.6,25.5,NA,372,18%,24%,55,,
Power One,,,gas,,,,,,,,,,-11,-33,,,
-59938,,,,,,,,,,,,,,,,,
Spencer (4266),Unknown,Denton,Natural,,,,,,,,,,43%,44%,,,
,,,,126.5,65,1.10%,5.9,13,0.8,0.8,7.40%,"79,284",,,166,,
,,,gas,,,,,,,,,,-37,-62,,,
Stryker Creek,Operating,Cherokee,Oil,10,54,0.20%,NA,7.3,0.6,29.1,NA,359,34%,48%,82,,
(internal,,,,,,,,,,,,,-27,-67,,,
combustion,,,,,,,,,,,,,,,,,
unit) 31(3504),,,,,,,,,,,,,,,,,
Stryker Creek,Operating,Cherokee,Natural,703.4,62,1.80%,9,12.3,0.7,1.1,1.00%,359,34%,48%,82,,
(steam turbine,,,gas,,,,,,,,,,-27,-67,,,
unit) 32(3504),,,,,,,,,,,,,,,,,
T.H. Wharton,Operating,Harris,Natural,,,,,,,,,,75%,36%,,,
,,,,526.3,53,0.80%,4.5,21.3,0.8,4.4,2.60%,"100,058",,,185,,
(gas turbine,,,gas,,,,,,,,,,-66,-51,,,
unit) 33(3469),,,,,,,,,,,,,,,,,
Tradinghouse,Proposed;,McLennan,Natural,460,NA,NA,NA,NA,NA,NA,NA,590,18%,34%,119,,
Creek Gas,cancelled?,,gas,,,,,,,,,,-12,-48,,,
Project (3506),,,,,,,,,,,,,,,,,
Trinidad (3507),Operating,Henderson,Natural,239.3,55,1.20%,11,14.2,0.8,2.4,0.40%,827,18%,57%,85,,
,,,gas,,,,,,,,,,-11,-77,,,
Ty Cooke (gas,Operating,Lubbock,Natural,40.5,56,2.00%,NA,15.1,0.9,3.5,NA,"3,475",76%,54%,172,,
turbine unit) 34,,,gas,,,,,,,,,,-67,-74,,,
-3602,,,,,,,,,,,,,,,,,
Ty Cooke,Operating,Lubbock,Natural,97.6,55,1.80%,NA,11.6,0.7,1,NA,"3,475",76%,54%,172,,
(steam turbine,,,gas,,,,,,,,,,-67,-74,,,
unit) 35(3602),,,,,,,,,,,,,,,,,
V.H. Braunig,Operating,Bexar,Natural,244,10,5.40%,7.7,9.8,0.6,0.1,3.00%,"3,693",66%,42%,180,,
(gas turbine,,,gas,,,,,,,,,,-57,-61,,,
unit) 36(3612),,,,,,,,,,,,,,,,,
V.H. Braunig,Operating,Bexar,Natural,894,54,6.10%,25.1,11.1,0.7,1.8,3.70%,"3,693",66%,42%,180,,
(steam turbine,,,gas,,,,,,,,,,-57,-61,,,
unit) 37(3612),,,,,,,,,,,,,,,,,
Van Alstyne,Proposed,Grayson,Natural,579,NA,NA,NA,NA,NA,NA,NA,"7,011",15%,24%,119,,
Energy Center,,,gas,,,,,,,,,,-8,-33,,,
-59617,,,,,,,,,,,,,,,,,
Victoria City,Operating,Victoria,Natural,100,0,NA,NA,NA,NA,NA,NA,"27,790",77%,55%,212,,
Power (61241),,,gas,,,,,,,,,,-67,-75,,,
Victoria Port,Operating,Victoria,Natural,100,1,NA,NA,NA,NA,NA,NA,808,45%,36%,158,,
Power (61242),,,gas,,,,,,,,,,-39,-51,,,
Wilkes (3478),Operating,Marion,Natural,882,56,7.30%,393,10.9,0.6,1.4,0.00%,379,26%,29%,79,,
,,,gas,,,,,,,,,,-19,-41,,,
Winchester,Operating,Fayette,Natural,242,10,2.30%,5.5,9.1,0.5,0.1,1.10%,466,13%,19%,55,,
"Power Park
(56674)",,,gas,,,,,,,,,,-6,-26,,,
